2255_2808_2025 | alacritty | alacritty.toml -> alacritty.toml_2255_2808_2025
2255_2808_2025 | btop | btop.conf -> btop.conf_2255_2808_2025
2255_2808_2025 | environment.d | fcitx.conf -> fcitx.conf_2255_2808_2025
2255_2808_2025 | fcitx5 | xcb.conf -> xcb.conf_2255_2808_2025
2255_2808_2025 | fcitx5 | notifications.conf -> notifications.conf_2255_2808_2025
2255_2808_2025 | fontconfig | fonts.conf -> fonts.conf_2255_2808_2025
2255_2808_2025 | google-chrome | Roboto-Light.ttf -> Roboto-Light.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoCondensed-Bold.ttf -> RobotoCondensed-Bold.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoSlab-Light.ttf -> RobotoSlab-Light.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | Roboto-Bold.ttf -> Roboto-Bold.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | GoogleSans-Regular.ttf -> GoogleSans-Regular.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoSlab-Regular.ttf -> RobotoSlab-Regular.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoSlab-Thin.ttf -> RobotoSlab-Thin.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | GoogleSans-Medium.ttf -> GoogleSans-Medium.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoCondensed-Regular.ttf -> RobotoCondensed-Regular.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | Roboto-Regular.ttf -> Roboto-Regular.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | Roboto-Medium.ttf -> Roboto-Medium.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | Roboto-Italic.ttf -> Roboto-Italic.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoSlab-Bold.ttf -> RobotoSlab-Bold.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoCondensed-Light.ttf -> RobotoCondensed-Light.ttf_2255_2808_2025
2255_2808_2025 | hypr | autostart.conf -> autostart.conf_2255_2808_2025
2255_2808_2025 | hypr | hypridle.conf -> hypridle.conf_2255_2808_2025
2255_2808_2025 | hypr | hyprland.conf -> hyprland.conf_2255_2808_2025
2255_2808_2025 | hypr | hyprsunset.conf -> hyprsunset.conf_2255_2808_2025
2255_2808_2025 | hypr | input.conf -> input.conf_2255_2808_2025
2255_2808_2025 | hypr | hyprlock.conf -> hyprlock.conf_2255_2808_2025
2255_2808_2025 | hypr | bindings.conf -> bindings.conf_2255_2808_2025
2255_2808_2025 | hypr | monitors.conf -> monitors.conf_2255_2808_2025
2255_2808_2025 | hypr | envs.conf -> envs.conf_2255_2808_2025
2255_2808_2025 | mise | config.toml -> config.toml_2255_2808_2025
2255_2808_2025 | nvim | stylua.toml -> stylua.toml_2255_2808_2025
2255_2808_2025 | swayosd | config.toml -> config.toml_2255_2808_2025
2255_2808_2025 | walker | config.toml -> config.toml_2255_2808_2025
2255_2808_2025 | walker | default.toml -> default.toml_2255_2808_2025
2255_2808_2025 | .config_root | brave-flags.conf -> brave-flags.conf_2255_2808_2025
2255_2808_2025 | .config_root | chromium-flags.conf -> chromium-flags.conf_2255_2808_2025
2255_2808_2025 | .config_root | omarchy.ttf -> omarchy.ttf_2255_2808_2025
2255_2808_2025 | .config_root | starship.toml -> starship.toml_2255_2808_2025
2255_2808_2025 | .config_root | user-dirs.dirs -> user-dirs.dirs_2255_2808_2025
2255_2808_2025 | .config_root | user-dirs.locale -> user-dirs.locale_2255_2808_2025
2255_2808_2025 | .config_root | mimeapps.list -> mimeapps.list_2255_2808_2025
2255_2808_2025 | alacritty | alacritty.toml -> alacritty.toml_2255_2808_2025
2255_2808_2025 | btop | btop.conf -> btop.conf_2255_2808_2025
2255_2808_2025 | environment.d | fcitx.conf -> fcitx.conf_2255_2808_2025
2255_2808_2025 | fcitx5 | xcb.conf -> xcb.conf_2255_2808_2025
2255_2808_2025 | fcitx5 | notifications.conf -> notifications.conf_2255_2808_2025
2255_2808_2025 | fontconfig | fonts.conf -> fonts.conf_2255_2808_2025
2255_2808_2025 | google-chrome | Roboto-Light.ttf -> Roboto-Light.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoCondensed-Bold.ttf -> RobotoCondensed-Bold.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoSlab-Light.ttf -> RobotoSlab-Light.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | Roboto-Bold.ttf -> Roboto-Bold.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | GoogleSans-Regular.ttf -> GoogleSans-Regular.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoSlab-Regular.ttf -> RobotoSlab-Regular.ttf_2255_2808_2025
2255_2808_2025 | google-chrome | RobotoSlab-Thin.ttf -> RobotoSlab-Thin.ttf_2255_2808_2025
